"id","comment_text","toxic","severe_toxic","obscene","threat","insult","identity_hate"
64,You're an idiot.,1
56,This is garbage.,1
23,Well written!,0
7,Wonderful explanation.,0
10,Cool project!,0
43,Disgusting.,1
52,You sound like a moron.,1
29,I like this.,0
1,I agree with your thoughts.,0
58,Why are you even here?,1
4,Respect your opinion.,0
57,Stupidest thing I’ve seen.,1
47,I can't stand you.,1
22,You're brilliant.,0
2,Good effort!,0
37,Worst advice ever.,1
28,Thanks for sharing.,0
5,"Super helpful, thanks!",0
62,Garbage response.,1
44,You're useless.,1
26,I appreciate your help.,0
66,Embarrassing.,1
16,You made my day!,0
38,That’s pathetic.,1
33,That's a great idea.,0
49,Stop posting nonsense.,1
12,Looks great to me.,0
36,"Ugh, shut your mouth.",1
8,Thank you for your support.,0
27,Nice design!,0
19,Thanks for clarifying.,0
55,You have no idea what you're saying.,1
59,You're delusional.,1
53,This is absolute nonsense.,1
48,No one cares.,1
13,"Great job, well done!",0
63,Worst thing ever.,1
35,Get lost.,1
30,Amazing contribution.,0
45,You're so annoying.,1
61,I hate you.,1
39,Nobody likes you.,1
17,Excellent work!,0
9,Keep up the good work.,0
18,Very informative.,0
6,You're so smart.,0
14,You're doing amazing!,0
40,So dumb.,1
68,Dumb comment.,1
11,That's very helpful.,0
31,Thanks again for this.,0
42,Shut up.,1
41,Ignorant fool.,1
65,This is stupid.,1
51,Worst post ever.,1
3,Positive vibes only.,0
46,Terrible idea.,1
15,Appreciate this insight.,0
32,So wholesome!,0
54,Completely wrong.,1
34,You're full of crap.,1
25,You are very kind.,0
67,This is trash.,1
50,Go away.,1
24,Clean and elegant code.,0
21,Beautiful writing.,0
60,You suck.,1
20,Nice explanation.,0
